A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
1.1413376098990497e-07,1.441599079601326e-06,1.5397952920017844e-06,1.2146034925322458e-06,6.705945345781473e-06,1.964299545251314e-06,9.935546381406546e-07,4.386877043797006e-07,2.0742436236788882e-08,5.059225198519046e-07,3.0478013216906556e-07,2.6711847460869254e-06,9.290197271718683e-07,1.132303102871533e-06,7.096633729329823e-07,2.3717056793955424e-07,825437.4076459736
9.641106832249082e-08,1.5636154145815707e-06,1.1190166854306384e-06,1.1527707332525288e-07,3.209050993512685e-06,2.629854423157658e-07,1.804517640941957e-07,5.568860633322961e-07,1.3790861005145013e-08,9.021258081219297e-07,7.179831057868406e-07,2.2508297950729595e-06,1.1591892223105288e-06,1.8536761200758324e-06,4.874579175435204e-07,1.4667557340373944e-07,825442.1618606882
8.173623459567718e-08,4.34740711523058e-07,2.7616115556265643e-06,8.639743797422206e-07,1.3316655979714167e-06,1.1248068059078434e-06,2.0047507178889117e-07,9.913379930598782e-07,2.0457397431951403e-08,6.17858623180672e-07,1.0512834235495803e-06,1.664652521634063e-06,2.1365528544128247e-06,1.3501769893912008e-06,5.753379220680541e-07,1.8965377531681755e-07,825446.9200357029
3.371085148911434e-08,1.00740072551059e-06,1.6828982416166496e-06,2.3613871415279362e-07,2.1384542356995455e-06,5.266739651962201e-07,3.540919044765837e-07,1.3266617551445497e-07,1.8662711455911444e-08,4.143252476322925e-07,4.6860669447030645e-07,1.6659833215932176e-06,1.1264415663215211e-06,2.2427569932792033e-06,4.954553530960659e-07,1.3692799171842522e-07,825451.6392701175
1.3217481659542268e-07,1.6654585294386716e-06,3.1794778703881005e-06,5.078705846519978e-07,1.8057295826542665e-06,2.0296273448145608e-06,1.295480313047628e-06,5.896706163924498e-07,3.0699204049718704e-08,3.052202461118868e-07,7.098920837261742e-07,1.956015538014046e-06,2.65529520825228e-06,1.8557044549509717e-06,8.790083735096391e-07,7.12725503148185e-08,825456.4044494323
6.335606402222709e-08,1.0797761931337822e-06,9.391679645840911e-07,5.522987815291769e-07,1.1028804471790356e-06,6.559807783223512e-07,1.466001201511333e-07,2.746759995943737e-07,1.661398475963864e-08,6.053468504070153e-07,4.5289160767895263e-07,1.8070358530604747e-06,1.2618594931753679e-06,1.796962074276805e-06,4.885538635744593e-07,1.1328641160339835e-07,825461.148887347
1.3071214092588162e-07,1.9683600318133914e-06,1.0115585587652197e-06,7.806121375763077e-06,2.098880691893031e-06,3.6336982795653647e-06,1.155799725505631e-06,9.468157372967601e-07,2.2330557420018473e-08,2.970278607908185e-06,3.34063235984458e-06,4.630232584243008e-06,1.8273536521605651e-06,6.364381806984764e-06,4.759826438787277e-06,1.0877372389644114e-07,825475.9962597927
4.243099085952356e-08,1.6816260805850061e-06,3.572120074112913e-06,2.3232165461646494e-06,1.4921836090751113e-06,2.6429574121256857e-06,1.02023065061595e-06,2.691477056436882e-07,8.89105715374644e-09,1.6758585455574375e-06,2.7849371720950697e-06,2.9899146322873387e-06,1.0959223017848724e-06,4.010014276669796e-06,2.0584823322356443e-06,2.269059703787583e-07,825490.8541993386
1.2313380773838664e-07,2.5885557158846934e-06,6.914454263407543e-07,8.06166479843158e-07,1.1365104209435282e-06,2.6392604400862203e-06,9.302871534342133e-07,1.1197360449763994e-06,3.5083113427194764e-08,9.141822705333877e-07,1.2180419098725864e-06,1.6311644187746684e-06,2.8562205345259507e-06,3.0981129241922306e-06,1.5642789348552038e-07,3.50165305639698e-07,825495.5593716531
2.0420381191042023e-07,6.256716566591133e-07,1.4494069382862182e-06,7.174466314479109e-06,4.633720064627261e-06,3.472203584548901e-06,3.4638456364005053e-06,3.7998003047241033e-07,1.7957898356705382e-08,1.4628473445563677e-06,4.613641281562554e-06,3.0835358555249617e-06,1.8120621881540878e-06,6.343176867965815e-06,2.532689573318276e-06,1.8050843757916514e-07,825500.2896215676
