A1A,A2A,A3A,A4A,A4B,A3B,A2B,A1B,B1A,B2A,B3A,B4A,B4B,B3B,B2B,B1B,timestamp
9.405051277988283e-09,9.792425954215299e-07,3.0699326431025325e-06,1.643101925160434e-06,1.2995737155025953e-06,1.6698357800639031e-09,1.616506499844873e-06,4.413131002659492e-07,6.138192274520423e-08,6.098719380272375e-06,3.7301139870473005e-06,5.209652652890425e-06,2.7419441754935227e-06,2.412481329525044e-06,2.9624842664677294e-06,3.2116573209358614e-08,832099.6947639042
4.7295239431619516e-08,7.802825613249088e-06,9.005513087587878e-06,2.886436528615773e-06,4.7633703541034725e-06,7.742184283870238e-09,1.6686015873412293e-06,7.996224323807949e-07,1.1327790905783526e-07,5.202704056459375e-06,1.2682156419685405e-06,6.326810060951663e-06,1.6602434561042084e-06,6.026217337130161e-06,2.27301929861001e-06,2.8543221550472542e-08,832104.5594970814
7.124016550959646e-09,2.050349989327117e-06,4.611398095988764e-06,1.728102246836923e-06,1.7669893055624087e-06,1.7835893330254823e-09,2.3850664229737506e-06,8.458851187350622e-07,2.601384805757529e-08,1.8980079074932036e-06,1.270232069178365e-06,5.1169105905866505e-06,2.7197880715390317e-06,1.6672333446404752e-06,2.6041739084624387e-06,3.028111177936248e-08,832109.4241586586
1.2263239892962039e-08,1.0919694026316948e-06,2.414433945813901e-06,1.9815956184167294e-06,4.475058203208565e-06,2.313072350888902e-09,1.4937066804232036e-06,1.6652686852198112e-06,8.86814257359044e-08,1.0047246699415494e-06,1.0705228484604624e-06,2.6559166368600494e-06,3.1074373974906457e-06,2.886533926665087e-06,2.3912336007731115e-06,3.3147143531344405e-08,832114.3123752357
3.188003929859771e-08,2.7509532236312926e-07,3.9693339876576465e-06,1.6010877531886903e-06,6.819632158340179e-07,1.4068123341028802e-09,7.246530886873834e-06,6.330419687729955e-07,4.753103198513898e-08,1.3223583824443868e-06,1.0805602405244735e-06,3.301855849238959e-06,1.351451738849714e-06,1.449318004444152e-06,4.2124076421649166e-06,5.0962843963625514e-08,832119.1898994129
8.413687353370666e-09,1.1463850105188986e-07,2.9870262642708387e-06,2.5136168417331243e-06,3.3816617837517012e-06,6.780116598068383e-09,1.8282463500316982e-06,8.275206722472203e-07,6.084044787556095e-08,4.504448551450501e-07,2.1934206823252644e-06,1.887372383693256e-06,2.104265305706905e-06,2.08140051733242e-06,4.1245117034964e-06,5.303972589325385e-08,832124.0657291899
9.087666537929305e-09,1.0358700206218734e-06,2.422289114127025e-06,1.9866673035464807e-06,9.280936027792102e-07,2.6089273922194453e-09,1.9202410635700517e-06,9.58722618335126e-07,4.88966792107382e-08,1.1455880304833836e-06,4.1370492851829887e-07,2.5334581397398907e-06,1.5726142040949162e-06,2.2346703191723432e-06,1.7287373310846182e-06,2.189300598412983e-08,832128.9347826671
1.470390167742651e-07,3.3000044889072857e-06,1.953623309273714e-05,6.356157538550974e-06,1.5585967939403234e-05,2.0142083077910523e-08,3.2079868978176352e-06,2.568569530816106e-06,1.386425877096381e-07,5.352450553416625e-06,2.2449120355571825e-06,5.5079569630234555e-06,5.137893401938214e-06,3.38122999104313e-06,3.0444546401555957e-06,4.2504607214638056e-08,832133.8167422442
5.989294688828944e-08,2.9880041281141065e-06,1.1708537434416269e-05,2.9103364619327344e-06,4.832321054406754e-06,3.984757383264553e-09,2.1104181596962052e-06,9.035780250386745e-06,8.959153207104713e-08,1.0593176063689395e-05,3.273873563797987e-05,4.0861189319550465e-06,5.204588420193602e-06,1.5263780470785405e-06,4.869483279675075e-06,6.470872031069236e-08,832138.6901444214
2.987500382479846e-08,2.768920942383688e-07,1.2538613811259036e-06,2.408314468278092e-06,4.4841313760975226e-07,1.995243069515125e-09,1.3646020463608403e-06,5.776580156173691e-07,2.7707561355921433e-08,1.5551621592191967e-06,1.8509593522455634e-06,1.6419262489043163e-06,2.6577508831095095e-06,1.5867366240498492e-06,2.385864262945774e-06,3.1369164519565206e-08,832143.5505951985
